Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Coding_Scheme
2020-11-23, 10:08:28, 00:06:43, 403.081, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Door",, "5-10 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-23, 10:08:28, 00:06:43, 403.081, 43.335, 44.119, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Notes",, "10-30 seconds ",,,,,,, State start, 1234, HCWtest
2020-11-23, 10:09:12, 00:07:27, 447.200, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Notes",, "10-30 seconds ",,,,,,, State stop, 1234, HCWtest
2020-11-23, 10:09:12, 00:07:27, 447.200, 7.306, 9.198, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Patient",, "5-10 seconds",,,,,,, State start, 1234, HCWtest
2020-11-23, 10:09:21, 00:07:36, 456.398, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Patient",, "5-10 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-23, 10:09:21, 00:07:36, 456.398, 28.899, 29.782, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Notes",, "10-30 seconds ",,,,,,, State start, 1234, HCWtest
2020-11-23, 10:09:51, 00:08:06, 486.180, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Notes",, "10-30 seconds ",,,,,,, State stop, 1234, HCWtest
2020-11-23, 10:09:51, 00:08:06, 486.180, 38.338, 40.213, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Patient",, "10-30 seconds ",,,,,,, State start, 1234, HCWtest
2020-11-23, 10:10:31, 00:08:46, 526.392, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Patient",, "10-30 seconds ",,,,,,, State stop, 1234, HCWtest
2020-11-23, 10:10:31, 00:08:46, 526.392, 10.569, 11.604, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201123_100145.csv", "1", "Notes",, "1-5 seconds",,,,,,, State start, 1234, HCWtest
