Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Coding_Scheme
2020-11-30, 11:09:59, 00:00:00, 0.000, 40.122, 41.505, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_110959.csv", "1", "Patient",, "Over 30 seconds",,,,,,, State start, 1234, HCWtest
2020-11-30, 11:10:41, 00:00:41, 41.505, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_110959.csv", "1", "Patient",, "Over 30 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-30, 11:10:41, 00:00:41, 41.505, 31.208, 32.283, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_110959.csv", "1", "Bed",, "1-5 seconds",,,,,,, State start, 1234, HCWtest
2020-11-30, 11:11:13, 00:01:13, 73.788, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_110959.csv", "1", "Bed",, "1-5 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-30, 11:11:13, 00:01:13, 73.788, 30.932, 63.490, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_110959.csv", "1", "Notes",, "Over 30 seconds",,,,,,, State start, 1234, HCWtest
2020-11-30, 11:12:17, 00:02:17, 137.279, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_110959.csv", "1", "Notes",, "Over 30 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-30, 11:12:17, 00:02:17, 137.279, 24.067, 56.535, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_110959.csv", "1", "Sink",, "Over 30 seconds",,,,,,, State start, 1234, HCWtest
2020-11-30, 11:13:13, 00:03:13, 193.813, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_110959.csv", "1", "Sink",, "Over 30 seconds",,,,,,, State stop, 1234, HCWtest
