Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Coding_Scheme
2020-12-15, 12:50:20, 00:00:00, 0.000, 28.531, 58.024, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201215_125020.csv", "3", "Door",, "10-30 seconds ",,,,,,, State start, 1234, HCWtest
2020-12-15, 12:50:50, 00:00:29, 29.674, 25.183, 28.351, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201215_125020.csv", "1", "Notes",, "10-30 seconds ",,,,,,, State start, 1234, HCWtest
2020-12-15, 12:51:18, 00:00:58, 58.025, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201215_125020.csv", "3", "Door",, "10-30 seconds ",,,,,,, State stop, 1234, HCWtest
2020-12-15, 12:51:18, 00:00:58, 58.025, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201215_125020.csv", "1", "Notes",, "10-30 seconds ",,,,,,, State stop, 1234, HCWtest
