Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Coding_Scheme
2020-12-15, 12:48:28, 00:00:00, 0.000, 9.097, 10.155, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201215_124828.csv", "1", "Door",, "1-5 seconds",,,,,,, State start, 1234, HCWtest
2020-12-15, 12:48:38, 00:00:10, 10.155, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201215_124828.csv", "1", "Door",, "1-5 seconds",,,,,,, State stop, 1234, HCWtest
2020-12-15, 12:48:38, 00:00:10, 10.155, 23.524, 25.810, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201215_124828.csv", "1", "Notes",, "10-30 seconds ",,,,,,, State start, 1234, HCWtest
2020-12-15, 12:49:04, 00:00:35, 35.965, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201215_124828.csv", "1", "Notes",, "10-30 seconds ",,,,,,, State stop, 1234, HCWtest
