Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Coding_Scheme
2020-11-30, 13:45:12, 00:00:00, 0.000, 538.272, 539.198, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_134512.csv", "1", "Door",, "1-5 seconds",,,,,,, State start, 1234, HCWtest
2020-11-30, 13:54:11, 00:08:59, 539.198, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_134512.csv", "1", "Door",, "1-5 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-30, 13:54:11, 00:08:59, 539.198, 6.497, 8.689, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_134512.csv", "1", "Sink",, "Over 30 seconds",,,,,,, State start, 1234, HCWtest
2020-11-30, 13:54:20, 00:09:07, 547.887, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_134512.csv", "1", "Sink",, "Over 30 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-30, 13:54:20, 00:09:07, 547.887, 21.251, 45.287, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_134512.csv", "1", "Patient",, "Over 30 seconds",,,,,,, State start, 1234, HCWtest
2020-11-30, 13:55:05, 00:09:53, 593.175, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_134512.csv", "1", "Patient",, "Over 30 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-30, 13:55:05, 00:09:53, 593.175, 16.902, 60.783, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_134512.csv", "1", "Patient",, "10-30 seconds ",,,,,,, State start, 1234, HCWtest
2020-11-30, 13:56:06, 00:10:53, 653.957, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_134512.csv", "1", "Patient",, "10-30 seconds ",,,,,,, State stop, 1234, HCWtest
2020-11-30, 13:56:06, 00:10:53, 653.957, 3.882, 6.957, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_134512.csv", "1", "Door",, "Over 30 seconds",,,,,,, State start, 1234, HCWtest
2020-11-30, 13:56:13, 00:11:00, 660.914, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_134512.csv", "1", "Door",, "Over 30 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-30, 13:56:13, 00:11:00, 660.914, 17.228, 19.328, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_134512.csv", "1", "Patient",, "1-5 seconds",,,,,,, State start, 1234, HCWtest
2020-11-30, 13:56:32, 00:11:20, 680.242, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_134512.csv", "1", "Patient",, "1-5 seconds",,,,,,, State stop, 1234, HCWtest
2020-11-30, 13:56:32, 00:11:20, 680.242, 23.084, 25.435, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_134512.csv", "1", "Door",, "10-30 seconds ",,,,,,, State start, 1234, HCWtest
2020-11-30, 13:56:57, 00:11:45, 705.676, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201130_134512.csv", "1", "Door",, "10-30 seconds ",,,,,,, State stop, 1234, HCWtest
