Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID, Coding_Scheme
2020-12-07, 12:45:01, 00:00:00, 0.000, 108.156, 109.798, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201207_124501.csv", "3", "Door",, "1-5 seconds",,,,,,, State start, 1234, HCWtest
2020-12-07, 12:46:50, 00:01:49, 109.798, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201207_124501.csv", "3", "Door",, "1-5 seconds",,,,,,, State stop, 1234, HCWtest
2020-12-07, 12:46:50, 00:01:49, 109.798, 18.810, 20.618, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201207_124501.csv", "3", "Sink",, "Over 30 seconds",,,,,,, State start, 1234, HCWtest
2020-12-07, 12:47:11, 00:02:10, 130.416, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201207_124501.csv", "3", "Sink",, "Over 30 seconds",,,,,,, State stop, 1234, HCWtest
2020-12-07, 12:47:11, 00:02:10, 130.416, 345.804, 347.296, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201207_124501.csv", "3", "Bed",, "Over 30 seconds",,,,,,, State start, 1234, HCWtest
2020-12-07, 12:52:58, 00:07:57, 477.713, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201207_124501.csv", "3", "Bed",, "Over 30 seconds",,,,,,, State stop, 1234, HCWtest
2020-12-07, 12:52:58, 00:07:57, 477.713, 185.540, 193.390, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201207_124501.csv", "3", "Sink",, "Over 30 seconds",,,,,,, State start, 1234, HCWtest
2020-12-07, 12:56:12, 00:11:11, 671.102, -0.000, -0.000, "FocalBehavr_Near field _Far field ", "LogFocalBehaviour_Near field _Far field  20201207_124501.csv", "3", "Sink",, "Over 30 seconds",,,,,,, State stop, 1234, HCWtest
